FFT Dimension (GHz),Theta (°),Phi (°),FFT( Gain phi ),FFT( Gain theta )
0.029257404,270.000001,0,0.00945703406,0.00190857472
0.029627752,270.000001,0,0.0102088163,0.00270281197
0.029998098,270.000001,0,0.0122954408,0.00441435957
0.030368446,270.000001,0,0.016852485,0.00787509419
0.030738792,270.000001,0,0.027217783,0.015442281
0.03110914,270.000001,0,0.0543991216,0.034695223
0.031479486,270.000001,0,0.127491221,0.0847118497
0.031849834,270.000001,0,0.154476002,0.0995492488
0.03222018,270.000001,0,0.07520248,0.0441088676
0.032590526,270.000001,0,0.0392072648,0.0199394822
0.032960874,270.000001,0,0.0253953021,0.0109875845
0.03333122,270.000001,0,0.0195705835,0.00745670684
0.033701568,270.000001,0,0.0173845552,0.00645984057
0.034071916,270.000001,0,0.0176454894,0.00732009439
0.03444226,270.000001,0,0.0207820833,0.010615428
0.034812608,270.000001,0,0.0301566441,0.0195287615
0.035182956,270.000001,0,0.0683040544,0.0548102967
0.035553304,270.000001,0,-0.270686448,-0.256195009
0.035923648,270.000001,0,-0.0549778529,-0.0578417368
0.036293996,270.000001,0,-0.0380670242,-0.0419113375
0.036664344,270.000001,0,-0.036903847,-0.0402049273
0.037034688,270.000001,0,-0.0462002158,-0.0475276038
0.037405036,270.000001,0,-0.0817614645,-0.0770142078
0.037775384,270.000001,0,-0.53494072,-0.459358633
0.038145732,270.000001,0,0.156554654,0.126669064
0.038516076,270.000001,0,0.0994544551,0.0813845471
0.038886424,270.000001,0,0.130802304,0.117874347
0.039256772,270.000001,0,-1.01636589,-1.07533002
0.039627116,270.000001,0,-0.0687544495,-0.0874908119
0.039997464,270.000001,0,-0.032766819,-0.0495794751
0.040367812,270.000001,0,-0.0218538065,-0.0380249582
0.04073816,270.000001,0,-0.0174465068,-0.0334104262
0.041108504,270.000001,0,-0.0158061031,-0.0318169743
0.041478852,270.000001,0,-0.015838949,-0.0321200453
0.0418492,270.000001,0,-0.0172667876,-0.0340953842
0.042219548,270.000001,0,-0.0201351643,-0.037943393
0.042589892,270.000001,0,-0.0243949834,-0.0438780598
0.04296024,270.000001,0,-0.0290002972,-0.051051192
0.043330588,270.000001,0,-0.0310639534,-0.0561148636
0.043700932,270.000001,0,-0.0283568185,-0.0555696301
0.04407128,270.000001,0,-0.0229113176,-0.0509102046
0.044441628,270.000001,0,-0.0178502817,-0.0458957553
0.044811976,270.000001,0,-0.0142735727,-0.042286247
0.04518232,270.000001,0,-0.0120519996,-0.0402479656
0.045552668,270.000001,0,-0.010837622,-0.0395274237
0.045923016,270.000001,0,-0.010370818,-0.0399092212
0.046293364,270.000001,0,-0.0105072735,-0.0413128883
0.046663708,270.000001,0,-0.011170418,-0.0437485315
0.047034056,270.000001,0,-0.0122897858,-0.04725492
0.047404404,270.000001,0,-0.0136886453,-0.051690869
0.047774748,270.000001,0,-0.0149574373,-0.0564351641
0.048145096,270.000001,0,-0.0154849924,-0.0602636486
0.048515444,270.000001,0,-0.0148953367,-0.0620989613
0.048885792,270.000001,0,-0.0134506235,-0.0620298944
0.049256136,270.000001,0,-0.0117837945,-0.0611584745
0.049626484,270.000001,0,-0.0103696482,-0.0605760217
0.049996832,270.000001,0,-0.009390858,-0.0608902685
0.050367176,270.000001,0,-0.00886977836,-0.0624098107
0.050737524,270.000001,0,-0.00878485292,-0.0653621256
0.051107872,270.000001,0,-0.00912951492,-0.0700776428
0.05147822,270.000001,0,-0.00992671587,-0.0770811439
0.051848564,270.000001,0,-0.011218695,-0.0871351659
0.052218912,270.000001,0,-0.0130187143,-0.101119325
0.05258926,270.000001,0,-0.0151966903,-0.119494103
0.052959608,270.000001,0,-0.0173207819,-0.141099527
0.053329952,270.000001,0,-0.0187121984,-0.162471086
0.0537003,270.000001,0,-0.0189449005,-0.179898903
0.054070648,270.000001,0,-0.0183167197,-0.193348467
0.054440992,270.000001,0,-0.017560618,-0.206863299
0.05481134,270.000001,0,-0.0173475519,-0.226436868
0.055181688,270.000001,0,-0.0182399023,-0.260046065
0.055552036,270.000001,0,-0.0210748706,-0.322540939
0.05592238,270.000001,0,-0.0281092804,-0.454294175
